Name,X,Y,Label
3B,34.3508754,-84.6382386,20
1F,34.3571657,-84.6145347,20
1L,34.3565022,-84.6171297,20
1M,34.3591323,-84.6196734,20
1G,34.3594798,-84.6198665,20
1H,34.3643881,-84.6241451,20
1H,34.3645939,-84.6245173,20
2A,34.3647636,-84.6286933,20
2B,34.361726,-84.6311941,20
2C,34.3608183,-84.6293677,20
2K,34.356652,-84.6323539,20
2F,34.3554384,-84.6339173,20
3C,34.3463413,-84.641491,20
3D,34.3472188,-84.6434857,20
3E,34.3466247,-84.6442929,20
Bells Ferry Place,34.0787101,-84.5804884,18
Colony Woods,34.0989873,-84.501875,18
Cross Creek,34.0820434,-84.5810439,18
Pine Hill,34.1000984,-84.5260423,18
Lake Pointe,34.1120428,-84.6124333,18
Timberlake North,34.0920432,-84.620767,18
Salem Woods,34.0945432,-84.6343784,18
Stir Up Manor,34.0906544,-84.5743769,18
Brookwood Estates,34.0792658,-84.6132669,18
Yacht Club Estates,34.1137095,-84.6552122,18
Nowlin Station,34.0842656,-84.5713214,18
Cherokee Estates,34.0931544,-84.5952108,18
Cherokee South,34.0787102,-84.5985443,18
Fields Landing,34.1970408,-84.5738204,20
Willow Tree,34.0984316,-84.4335393,18
Holbrook,34.2128733,-84.2710328,20
Colony Center,34.0787098,-84.4332616,18
Gober,34.3056496,-84.4071477,20
Sunny Brook,34.1198201,-84.4688181,18
Breeze Hill Estates,34.1095426,-84.5249311,18
Emerald Forest,34.0898211,-84.6341007,18
Sharp Top,34.3631484,-84.4829834,20
Heritage Place,34.1234314,-84.5940994,18
Nowlin Hall,34.1028761,-84.4949304,18
Creek Hollow South,34.1231532,-84.3863152,18
Misty Mountain,34.0895429,-84.4529846,18
Glenell,34.1152866,-84.5790817,18
Kellogg Creek North,34.1237092,-84.6077109,18
Village Green,34.0773213,-84.5871552,18
Batesville,34.1634301,-84.378259,20
Tullamore,34.1575968,-84.3479803,18
Woodstock,34.1014112,-84.5192192,20
Motes Hill,34.0842656,-84.5796549,18
Riverchase,34.0950984,-84.4429842,18
Indian Valley Estates,34.084821,-84.5282647,18
Sumpter Ridge,34.0887099,-84.5696546,18
Colemans Landing,34.102876,-84.4432618,18
Buffington,34.2414841,-84.4207597,20
Andersonville,34.1295421,-84.4974302,20
Knox Landing,34.1384305,-84.3415913,18
The Crossroads,34.0867656,-84.5793771,18
Gibson Acres,34.0875989,-84.6129891,18
Tyson Estates,34.0917655,-84.5896551,18
Ansley Forest,34.0881542,-84.4943749,18
Southern Oaks,34.1228756,-84.4754851,18
Cedar Mill Crossing,34.116765,-84.636045,18
Audubon Forest,34.0892655,-84.5652101,18
Kellogg Creek,34.1137094,-84.6079888,18
Northridge Estates,34.0864878,-84.5863218,18
Avery,34.1956518,-84.4224269,20
Cardinal Woods,34.1109315,-84.5296534,18
Bramble Oak,34.0798208,-84.4232613,18
Park Place Estates,34.1056538,-84.4893745,18
Ball Ground,34.3382257,-84.3765714,20
Bluff Creek,34.1217645,-84.4549287,18
Farmington,34.1206535,-84.4643735,18
Knotts Landing,34.078432,-84.4507623,18
Orange,34.2556504,-84.3413126,20
Lebanon,34.1428753,-84.5093748,18
Ophir,34.3295381,-84.2649204,20
Cherokee Forest,34.07871,-84.5168756,18
Waleska,34.3164826,-84.5521524,20
Deerchase,34.0964873,-84.4632626,18
Hunters Mill,34.1180804,-84.4373165,18
Twin Pines,34.104543,-84.6552122,18
Union Hill,34.1950961,-84.3813144,20
Beasley Gap,34.3489817,-84.5971536,20
Colony Springs,34.0862096,-84.4432619,18
Woodstock Station,34.0981541,-84.5143754,18
White City,34.2495393,-84.3771472,20
The Arbors,34.1209314,-84.5690988,18
River Oaks,34.1084724,-84.4605277,18
Applewood,34.0945428,-84.4674294,18
Trickum Hills,34.0806544,-84.4874303,18
Burris Crossroads,34.3300934,-84.4874281,20
Macedonia,34.2537059,-84.36048,20
Etowah Mills,34.1231538,-84.6427118,18
Mill Creek Crossing,34.1209312,-84.488541,18
Little River Landing,34.1648193,-84.5810431,20
Bascombs Springs,34.0934319,-84.547154,18
Stockwood Estates,34.0814878,-84.5260425,18
Lathemtown,34.246206,-84.3071449,20
Little River North,34.113987,-84.4907634,18
Arnold Mill,34.1037094,-84.4985416,18
Oak Grove Estates,34.0931544,-84.6046555,18
