Name,X,Y,Label
Kennedy,33.7998283,-84.6007665,18
Mount Pisgah Estates,33.8012172,-84.5885441,18
Gordon Hills Estates,33.7931618,-84.5660436,18
Queens Lake Estates,33.7903841,-84.5429876,18
Flagstone,33.7787177,-84.5649324,18
Nottingham,33.7973284,-84.6035443,18
Ellison Estates,33.7939951,-84.5824328,18
James Acres,33.8017728,-84.5957664,18
Hembree Hills,33.7884397,-84.5868773,18
Camerons Crossing,33.7867732,-84.5999331,18
The Village Mobile Home Park,33.7556629,-84.579377,18
Oakhill,33.7817732,-84.5632657,18
Ivy Point,33.7839955,-84.6024332,18
Creelwood,33.8006617,-84.6127112,18
Knox Springs Estates,33.7834398,-84.5768771,18
Pleasant Acres,33.7839954,-84.5871551,18
Whisperwoods,33.7764956,-84.5732659,18
Cardell,33.7864952,-84.5388208,18
Gordon Heights,33.7926063,-84.578266,18
Country Manor,33.7848287,-84.5654881,18
Cherokee Hills,33.7842732,-84.5693769,18
Pine Creek,33.8028839,-84.6066,18
Hillcrest Valley,33.7828843,-84.5457654,18
Greenbrook,33.8023283,-84.602711,18
Howard,33.7945506,-84.5752105,18
Castlewood Estates,33.7889952,-84.5315985,18
Lodge West,33.772329,-84.5618768,18
Saddleback Ridge,33.7770511,-84.5824328,18
Creelwood Trailer Park,33.7923286,-84.6102112,18
Witt Acres,33.7981618,-84.610489,18
Gordon Woods,33.7923284,-84.5632657,18
Ivey Terrace,33.797606,-84.5388209,18
Boulder Vista,33.8023282,-84.5749327,18
Gardner Woods,33.7951062,-84.5777105,18
Kings Lake,33.779551,-84.5610435,16
Mount Pisgah Church,33.7898286,-84.5802106,10
Queen Cemetery,33.7912173,-84.5382652,9
Shady Grove Church,33.8026061,-84.6166002,10
Trinity Church,33.7889953,-84.5788216,10
Castle Lake Dam,33.7835311,-84.5309333,20
Castle Lake,33.7834397,-84.5315985,16
Lake Starling Dam,33.7943826,-84.5684025,20
Griffith Cemetery,33.7545517,-84.5735436,9
Creveis Road Church,33.8003839,-84.6046555,10
Green Grove Cemetery,33.7851065,-84.5732659,9
Hillcrest Church,33.7792733,-84.5474321,10
Mount Pisgah Cemetery,33.7895508,-84.5807661,9
New Home Church,33.7828843,-84.5449321,10
Pace-Wallace Cemetery,33.7981616,-84.5346541,9
Riverdale Church,33.7867731,-84.5752105,10
Seventh Day Adventist Church,33.7742735,-84.576877,20
Shady Grove Cemetery,33.8028839,-84.6160446,9
Trinity Cemetery,33.7887175,-84.5785438,9
Wallace Park,33.7964951,-84.5838218,20
Mableton Christian Academy,33.7887175,-84.5754883,1
Wingate by Wyndham Atlanta/Six Flags Austell,33.7717775,-84.5547879,19
Guest Inn,33.7720541,-84.555552,20
Sleep Inn at Six Flags,33.7723307,-84.5562298,19
ARKIVE Information Management,33.7853706,-84.5281505,20
Riverline Transfer,33.7964065,-84.5138357,20
MAD Industries,33.7971167,-84.5128181,20
Same Day Flower Delivery Atlanta GA - Send Flowers,33.7960021,-84.5541853,19
Seeds of Excellence Christian Academy,33.767063,-84.5604013,1
Bronner Center for the Performing Arts,33.7716773,-84.5571003,6
Turner Transfer,33.8029604,-84.505888,20
Howard's Collision Center,33.8025542,-84.5063985,19
115kV,33.7918089,-84.5504065,20
115kV,33.7918879,-84.550477,20
Knights Inn,33.7797197,-84.6031115,19
Acrophobia,33.7694371,-84.5521047,20
Parking Lot Tram Stop,33.7707343,-84.5506129,20
Disabled Parking,33.7703458,-84.5462141,20
Sky Coaster,33.7656131,-84.5515268,20
Sky Screamer,33.7665403,-84.5500316,20
Riverview Carousel,33.7668345,-84.5506922,20
Rockin' Tug,33.7667469,-84.5511281,20
"Up, Up, and Away",33.7669192,-84.5512169,20
Wonder Woman Flight School,33.7679597,-84.5504015,20
The Batcopters,33.7680231,-84.5506297,20
Superman Tower of Power,33.7678302,-84.550205,20
Daffy Duck Bucket Blasters,33.7680392,-84.5515238,20
Speedy Gonzalez Speed Boats,33.7678572,-84.5515619,20
Poison Ivy Toxic Spin,33.7698308,-84.5472171,20
Harley Quinn Wild Whirl,33.7698071,-84.5468191,20
Super-Villains Swing,33.7698795,-84.5476441,20
Catwoman Whip,33.7694576,-84.5467291,20
Juniper Street,33.75586915,-84.58038652500001,11
First Flag Drive Southwest,33.76458133333333,-84.59087176666667,11
Scotsman Drive,33.75891967142858,-84.57891294285716,11
Ridgebrook Downs,33.80329235,-84.51663575,11
Elm Street,33.75681528333334,-84.57969826666665,11
Pine Street,33.751965330000004,-84.57905588,11
Club Court,33.752532116666664,-84.5792134,11
Aquila Way,33.7479527375,-84.5769295375,11
Songwood Drive,33.795169666666666,-84.61197433333332,11
Fox Road,33.759289495000004,-84.578762575,11
Ruger Street,33.757838299999996,-84.58030946666666,11
Doyle Street Southeast,33.7870682,-84.550934195,11
Ron Road,33.758221649999996,-84.5781972,11
North Valentine Drive,33.758779,-84.58020403999998,11
Opossum Trail,33.75850775,-84.58063005,11
Aspen Street,33.7550341,-84.58105794285714,11
Trailwood Park,33.802260020754716,-84.6100360490566,11
Calgary Glen,33.77603771666667,-84.56890444999999,11
Valentine Drive,33.75301405,-84.57916828333333,11
Knoll Street,33.75615727857142,-84.57808802857143,11
Grafton Drive,33.797898076923076,-84.60111153846152,11
Valley Hill Drive,33.793769455,-84.56628666,11
Fairway Trail,33.78483116666666,-84.56766716666667,11
Panda Drive,33.78467178,-84.6010161,11
Delta Circle Southwest Southwest,33.77738838125,-84.5416678375,11
Six Flags Parkway,33.771071275,-84.55258185833331,11
Riverside Parkway,33.76347556785714,-84.56173036428571,11
Ashlyn Court,33.7894442,-84.59658424444444,11
Anvil Way,33.7882202,-84.5555642,11
Anvil Way,33.78758161,-84.55676433,11
Ling Drive,33.78476331379311,-84.59484943448277,11
Pine Bluff Court,33.803796,-84.604948,11
Gardner Street,33.79451546086957,-84.57719518695653,11
South Service Road,33.77227355517241,-84.55533503793104,11
Oak Ridge Parkway,33.7848712,-84.60646580000001,11
Cityview Drive,33.774281025,-84.551837675,11
Dillon Road,33.798127785714286,-84.59550020714285,11
Grafton Court,33.797953500000006,-84.600272,11
Hidden Court,33.793830428571425,-84.55264934285715,11
Mary Ellen Lane,33.783336692307685,-84.5825466153846,11
Keith Drive Southwest,33.798483950000005,-84.61667475,11
Summerstone Lane,33.77742878,-84.59037772,11
