Name,X,Y,Label
West Gate - Sharp Mountain Preserve,34.4289909,-84.5469969,20
Marble Hill,34.4306865,-84.336883,20
Sweden,34.5434211,-84.6418772,20
West Brook,34.4931459,-84.4546481,20
Holcomb,34.4128703,-84.2804757,20
Carns Mill,34.5264772,-84.5090407,20
Jerusalem,34.4417574,-84.5821529,20
Talmadge,34.4242577,-84.5874309,20
Grandview,34.4956462,-84.3938125,18
Cagle,34.3967589,-84.4329814,20
Talking Rock,34.5092563,-84.5049279,20
Blaine,34.5106448,-84.5568741,20
Ruden,34.4764796,-84.4396477,20
Clipper,34.5425882,-84.5829863,20
Jasper,34.4678687,-84.4290918,20
Burnt Mountain Estates,34.5462007,-84.3721448,18
Daniels,34.4167588,-84.3640898,20
Tate,34.4184253,-84.3827016,20
Scarecorn,34.5062001,-84.6015979,20
Ludville,34.4695342,-84.6096537,20
Hinton,34.480923,-84.5827084,20
Salacoa,34.3906474,-84.6113207,20
Greely,34.3931472,-84.6449328,18
McDaniel,34.508422,-84.6304878,20
Pickens,34.4630619,-84.4682402,20
Buice Falls,34.509822,-84.2991559,20
Fall Creek Waterfall,34.515107,-84.318367,20
Arbor Hill Church,34.409259,-84.3443669,10
Ball Creek Church,34.546477,-84.5868753,10
Bethany Church,34.39287,-84.4663159,10
Bethel Church,34.5150886,-84.626321,10
Cagle Mountain,34.3953698,-84.5285402,15
Cool Springs Church,34.4147876,-84.3894837,10
Cox Lake,34.4264811,-84.2976984,16
Disharoon Mountain,34.4553695,-84.306865,15
Friendship Church,34.4678676,-84.6177096,10
Goshen Church,34.3973139,-84.5893754,10
Grandview Lake,34.5009238,-84.3977015,16
Home Cemetery,34.5275883,-84.6193763,9
Hutcherson Cemetery,34.3975916,-84.6129874,9
Long Swamp Church,34.4600914,-84.3518667,10
Macedonia Church,34.5439767,-84.6418772,10
Mole Mountain,34.47898,-84.3652004,15
Norton Cemetery,34.4733866,-84.4191297,9
Mount Oglethorpe,34.4862486,-84.3314275,15
Pine Grove Church,34.4204045,-84.5601243,10
Price Creek Church,34.5434225,-84.4371475,10
Salacoa Church,34.3942583,-84.6449328,10
Sconti Lake,34.4509252,-84.2849199,16
Sharp Mountain,34.4389382,-84.5070354,15
Sharp Top Church,34.4923129,-84.3832565,10
Lake Tamarack,34.4887019,-84.3738118,16
Town Creek Church,34.5339777,-84.5396514,10
Yellow Creek Church,34.3942594,-84.2804759,10
Burnt Mountain Church,34.5459229,-84.3677002,10
Sassafras Mountain,34.5175904,-84.3421437,15
Fuller Mountain,34.4264796,-84.6418771,15
Gee Mountain,34.4898114,-84.63021,15
Henderson Mountain,34.4053695,-84.537985,15
Little McElory Mountain,34.4589807,-84.2824197,15
McElory Mountain,34.4734249,-84.2782527,15
Murphy Top,34.4664791,-84.5624299,15
Pack Mountain,34.485367,-84.6399325,15
Posey Mountain,34.4098135,-84.6110428,15
Potts Mountain,34.4367589,-84.2629748,15
Rich Mountain,34.4239802,-84.5254845,15
Sanderlin Mountain,34.4845357,-84.3149206,15
Stripling Mountain,34.4198133,-84.5896532,15
Talley Mountain,34.4535719,-84.4928734,15
Toland Mountain,34.4606472,-84.3149209,15
Wet Mountain,34.4812025,-84.2913087,15
White Mountain,34.4137023,-84.6032647,15
Fausett Lake Dam,34.5284239,-84.2799189,20
Amicalola Creek Watershed Structure Number One Dam,34.546757,-84.2632514,20
Harrison Lake Dam,34.411759,-84.3265885,20
Harrison Lake,34.411759,-84.3265885,16
Ellison-Stifel Lake Dam,34.5317564,-84.4099242,20
Ellison-Stifel Lake,34.5317564,-84.4099242,16
Dubose Lake Dam,34.4584248,-84.3465888,20
Dubose Lake,34.4584248,-84.3465888,16
Perrow Lake Dam,34.4550912,-84.4182581,20
Perrow Lake,34.4550912,-84.4182581,16
Tillman Lake Dam,34.515555,-84.644196,20
Tillman Lake,34.5148763,-84.6443174,16
Bill Teague Lake Dam,34.4150919,-84.4399259,20
Bill Teague Lake,34.4150919,-84.4399259,16
Jewell Eaton Lake Dam,34.4134253,-84.4015912,20
Jewell Eaton Lake,34.4134253,-84.4015912,16
Griffith Lake Dam,34.4634245,-84.3882569,20
Griffith Lake,34.4634245,-84.3882569,16
Jones Lake Dam,34.5167563,-84.47326,20
Jones Lake,34.5167563,-84.47326,16
Upper Twin Mountain Lake Dam,34.5034233,-84.4699265,20
Upper Twin Mountain Lake,34.5034233,-84.4699265,16
Grandview Lake Dam,34.503146,-84.3977015,20
Lake Petit Dam,34.4622296,-84.2900977,20
Long Swamp Watershed Dam Number Nine,34.4550915,-84.3549224,20
Anderson Lake,34.4550915,-84.3549224,16
Bent Tree Dam,34.4887639,-84.3661098,20
Jones Lake,34.4414276,-84.4637465,16
Sharp Mountain Watershed Dam Number Two,34.433464,-84.4654631,20
Lagomarsino Lake,34.432933,-84.4656347,16
Sharp Mountain Watershed Dam Number 13,34.4117587,-84.4299255,20
Stephens Lake,34.4117587,-84.4299255,16
Sharp Mountain Watershed Dam Number 14,34.3967589,-84.4382593,20
Taylor Lake,34.3967589,-84.4382593,16
Mullinax Lake,34.4084251,-84.5082617,16
Sharp Mountain Watershed Dam Number 28,34.3950921,-84.4999282,20
Padgett Lake,34.3950921,-84.4999282,16
Sharp Mountain Watershed Dam Number 22,34.4267585,-84.4065913,20
Darnell Lake,34.4267585,-84.4065913,16
Sharp Mountain Watershed Dam Number 31,34.3984253,-84.488261,20
Reynolds Lake,34.3984253,-84.488261,16
Talking Rock Watershed Dam Number One,34.4524364,-84.5982559,20
Talking Rock Watershed Dam Number Two,34.4495825,-84.5496481,20
Talking Rock Watershed Dam Number Three,34.4750901,-84.5465961,20
Van Valkenburgh Lake,34.4750901,-84.5465961,16
Talking Rock Watershed Dam Number Four,34.4834232,-84.5432625,20
Martin Lake,34.4834232,-84.5432625,16
Sallacoa Watershed Dam Number 48,34.4734228,-84.6415993,20
Anderson Lake,34.4734228,-84.6415993,16
Long Swamp Creek Watershed Dam Number Eight,34.4417585,-84.3299216,20
Georgia Marble Company Lake,34.4417585,-84.3299216,16
Long Swamp Watershed Dam Number 18,34.3967593,-84.3015877,20
Odum Lake,34.3967593,-84.3015877,16
Sallacoa Creek Watershed Dam Number 95,34.4018893,-84.5944763,20
Long Swamp Watershed Dam Number 14,34.4250922,-84.2982539,20
Sequoyah Lake Dam,34.5442563,-84.3710337,20
Upper Boswell Lake Dam,34.3934255,-84.4549266,20
Upper Boswell Lake,34.3934255,-84.4549266,16
Lower Boswell Lake Dam,34.3934255,-84.4515932,20
Lower Boswell Lake,34.3934255,-84.4515932,16
Sconti Lake Dam,34.4509252,-84.2849199,20
Dobbs Lake Dam,34.4000919,-84.5115952,20
Dobbs Lake,34.4000919,-84.5115952,16
Tate Lookout Tower,34.4084256,-84.3543672,20
Freehope Church,34.3948146,-84.3977023,10
WYYZ-AM (Jasper),34.4756463,-84.4368698,20
Burnt Mountain,34.5348121,-84.3615889,15
Fairview Methodist Church,34.3989804,-84.6377104,10
Fausett Lake,34.5284239,-84.2799189,16
Hendrix Mountain,34.4848133,-84.3471441,15
Sequoyah Lake,34.5442563,-84.3710337,16
Sharptop Mountain,34.5045349,-84.3765896,15
Crossroads Church,34.444535,-84.5768749,10
Deer Park Church,34.4653104,-84.4461738,10
Kingdom Hall Church,34.4789794,-84.4579817,10
Ludville Church,34.4714786,-84.6185429,10
Marble Hill Methodist Church,34.4306476,-84.3365887,10
Marble Hill Post Office,34.4129184,-84.2888595,8
Nelson Methodist Church,34.3837037,-84.3727015,10
New Lebanon Church,34.4664802,-84.3596447,10
Tate Methodist Church,34.4145365,-84.3754791,10
Tate Post Office,34.4139323,-84.3886726,8
Unity Church,34.4678677,-84.6088204,10
Fairview Cemetery,34.3989804,-84.6365993,9
Mahan Cemetery,34.3981471,-84.6285434,9
Coffey Cove,34.4959242,-84.3493663,16
Sharp Mountain Nature Park,34.433338,-84.5116191,6
Lodge and Lawn,34.4323881,-84.510991,20
Sharp Point Falls,34.4327331,-84.5212262,20
Mystic Waters Park,34.4298217,-84.5264941,20
Talking Falls Park,34.443307,-84.5218485,20
Enterkin Park,34.431857,-84.4988459,20
Twin Creeks Park,34.445979,-84.4989746,20
First Presbyteriain Church of Jasper (PCA),34.4754055,-84.4211047,10
Nesting Waters Park,34.440419,-84.4899141,20
Pickens County Airport,34.4533378,-84.4577355,20
Pickens County Volunteer FD,34.4352968,-84.4808927,7
Talley Mountain ridge,34.4517916,-84.5019673,15
Old Homestead (Foundation),34.4267378,-84.5111618,20
Old Homestead (Chimney),34.446492,-84.4990383,20
Old Homestead (Chimney),34.4496859,-84.4941352,20
Pavilion Rest Area,34.4327009,-84.5112543,20
Arbor Hills,34.4901145,-84.4533018,18
Pickens County Jail,34.4538942,-84.4479807,7
Jasper Municipal Court,34.4702554,-84.4246718,7
Enterprise,34.47739,-84.46538,2
Subway,34.4666667,-84.4602449,0
Rocco's Pub,34.4371057,-84.4385397,0
Mile 1.3,34.5000913,-84.2951797,20
The Zell Miller Mountain Parkway,34.5422253,-84.5171738,20
