Root Word,Number of Categories,Number of Occurrences,Score,Score2
Cobb,16,207,1.0,91
Marietta,15,127,6.0,86
Cumberland,13,49,48.0,76
Kennesaw,13,79,12.0,76
Acworth,12,44,100.0,71
Smyrna,12,35,120.0,71
East Cobb,11,38,154.0,66
Powder Springs,11,54,77.0,61
Lost Mountain,10,24,387.0,61
Austell,9,24,430.0,56
Roswell,9,19,540.0,51
Barrett,8,27,408.0,41
Big Shanty,8,17,756.0,50
Cobb County,8,68,96.0,46
Pointe,8,76,60.0,55
Vinings,8,70,72.0,41
Wildwood,8,21,600.0,46
Windy Hill,8,17,756.0,41
Brumby,7,12,1786.0,41
Cheatham Hill,7,12,1786.0,46
Hickory,7,70,114.0,46
Mabry,7,15,1349.0,41
Mount Bethel,7,10,2204.0,46
Noonday,7,65,171.0,46
Parkway,7,173,38.0,36
Town Center,7,15,1349.0,36
Akers Mill,6,7,4509.0,26
Chattahoochee,6,39,567.0,36
Mableton,6,9,3456.0,31
Milford,6,26,972.0,41
Paces,6,45,486.0,26
Parkwood,6,12,2538.0,31
Peachtree,6,11,2889.0,35
Powers Ferry,6,22,1296.0,31
Sandy Plains,6,14,2106.0,31
Shiloh,6,37,621.0,36
Terrell Mill,6,12,2538.0,31
Allatoona,5,46,697.0,26
Blackwell,5,19,2214.0,26
Clarkdale,5,6,7790.0,40
Cooper Lake,5,11,4387.0,26
Floyd Road,5,8,6068.0,26
Jonquil,5,5,8938.0,30
Kennesaw Mountain,5,10,4756.0,26
Lakeside,5,17,2583.0,21
Laurel,5,45,738.0,30
Leland,5,10,4756.0,35
Loch Highland,5,11,4387.0,26
Meadows,5,23,1886.0,31
Mountain View,5,17,2583.0,36
Shallowford,5,15,2911.0,35
Six Flags,5,6,7790.0,26
Sope Creek,5,52,615.0,30
Walton,5,18,2378.0,26
Ballpark,4,4,15616.0,16
Barber,4,22,2928.0,21
Bells Ferry,4,13,5124.0,25
Belmont,4,18,3538.0,25
Blue Springs,4,7,10187.0,25
Brookwood,4,7,10187.0,30
Building A,4,4,15616.0,25
Burnt Hickory,4,11,6527.0,25
Chastain,4,25,2379.0,21
Clubhouse,4,10,7076.0,21
Cochran,4,9,7808.0,16
Comet,4,10,7076.0,25
Community Center,4,13,5124.0,26
Courtyard,4,8,9028.0,16
Covenant,4,5,13298.0,26
Creekside,4,15,4331.0,21
Due West,4,12,5734.0,30
Ellison,4,8,9028.0,20
Equestrian,4,7,10187.0,21
Fair Oaks,4,5,13298.0,26
Ferry Road,4,28,1952.0,16
Glover,4,4,15616.0,25
Heards,4,20,3233.0,21
